HERC_net, HERC_description, HERC_name, SKIQ-X4_net, SKIQ-X4_description, SKIQ-X4_name, 
DP1_M2C_P,high speed diff pair mezzanine to host,DP1_M2C_P,NetC264_1,high speed diff pair mezzanine to host,DP1_M2C_P,
DP1_M2C_N,high speed diff pair mezzanine to host,DP1_M2C_N,NetC262_1,high speed diff pair mezzanine to host,DP1_M2C_N,
DP2_M2C_P,high speed diff pair mezzanine to host,DP2_M2C_P,NetC260_1,high speed diff pair mezzanine to host,DP2_M2C_P,
DP2_M2C_N,high speed diff pair mezzanine to host,DP2_M2C_N,NetC221_1,high speed diff pair mezzanine to host,DP2_M2C_N,
DP3_M2C_P,high speed diff pair mezzanine to host,DP3_M2C_P,NetC218_1,high speed diff pair mezzanine to host,DP3_M2C_P,
DP2_M2C_N,high speed diff pair mezzanine to host,DP3_M2C_N,NetC202_1,high speed diff pair mezzanine to host,DP3_M2C_N,
DP4_M2C_P,high speed diff pair mezzanine to host,DP4_M2C_P,NetC159_1,high speed diff pair mezzanine to host,DP4_M2C_P,
DP4_M2C_N,high speed diff pair mezzanine to host,DP4_M2C_N,NetC106_1,high speed diff pair mezzanine to host,DP4_M2C_N,
DP5_M2C_P,high speed diff pair mezzanine to host,DP5_M2C_P,NetC101_1,high speed diff pair mezzanine to host,DP5_M2C_P,
DP5_M2C_N,high speed diff pair mezzanine to host,DP5_M2C_N,NetC99_1,high speed diff pair mezzanine to host,DP5_M2C_N,
DP1_C2M_P,high speed diff pair host to mezzanine,DP1_C2M_P,NetC263_2,high speed diff pair host to mezzanine,DP1_C2M_P,
DP1_C2M_N,high speed diff pair host to mezzanine,DP1_C2M_N,NetC261_2,high speed diff pair host to mezzanine,DP1_C2M_N,
DP2_C2M_P,high speed diff pair host to mezzanine,DP2_C2M_P,NetC222_2,high speed diff pair host to mezzanine,DP2_C2M_P,
DP2_C2M_N,high speed diff pair host to mezzanine,DP2_C2M_N,NetC220_2,high speed diff pair host to mezzanine,DP2_C2M_N,
DP3_C2M_P,high speed diff pair host to mezzanine,DP3_C2M_P,NetC203_2,high speed diff pair host to mezzanine,DP3_C2M_P,
DP3_C2M_N,high speed diff pair host to mezzanine,DP3_C2M_N,NetC201_2,high speed diff pair host to mezzanine,DP3_C2M_N,
