name, number, description, net, net_description, logic/standard, type, comments
DP1_M2C_P, A2, high speed diff pair mezzanine to host, DP1_M2C_P, , , , , 
DP1_M2C_N, A3, high speed diff pair mezzanine to host, DP1_M2C_N, , , , , 
DP2_M2C_P, A6, high speed diff pair mezzanine to host, DP2_M2C_P, , , , , 
DP2_M2C_N, A7, high speed diff pair mezzanine to host, DP2_M2C_N, , , , , 
DP3_M2C_P, A10, high speed diff pair mezzanine to host, DP3_M2C_P, , , , , 
DP3_M2C_N, A11, high speed diff pair mezzanine to host, DP2_M2C_N, , , , , 
DP4_M2C_P, A14, high speed diff pair mezzanine to host, DP4_M2C_P, , , , , 
DP4_M2C_N, A15, high speed diff pair mezzanine to host, DP4_M2C_N, , , , , 
DP5_M2C_P, A18, high speed diff pair mezzanine to host, DP5_M2C_P, , , , , 
DP5_M2C_N, A19, high speed diff pair mezzanine to host, DP5_M2C_N, , , , , 
DP1_C2M_P, A22, high speed diff pair host to mezzanine, DP1_C2M_P, , , , , 
DP1_C2M_N, A23, high speed diff pair host to mezzanine, DP1_C2M_N, , , , , 
DP2_C2M_P, A26, high speed diff pair host to mezzanine, DP2_C2M_P, , , , , 
DP2_C2M_N, A27, high speed diff pair host to mezzanine, DP2_C2M_N, , , , , 
DP3_C2M_P, A30, high speed diff pair host to mezzanine, DP3_C2M_P, , , , , 
DP3_C2M_N, A31, high speed diff pair host to mezzanine, DP3_C2M_N, , , , , 
DP4_C2M_P, A34, high speed diff pair host to mezzanine, DP4_C2M_P, , , , , 
DP4_C2M_N, A35, high speed diff pair host to mezzanine, DP4_C2M_N, , , , , 
DP5_C2M_P, A38, high speed diff pair host to mezzanine, DP5_C2M_P, , , , , 
DP5_C2M_N, A39, high speed diff pair host to mezzanine, DP5_C2M_N, , , , , 
RES1, B1, RESERVED, CLK_DIR, , , , , 
DP9_M2C_P, B4, high speed diff pair mezzanine to host, DP9_M2C_P, , , , , 
DP9_M2C_N, B5, high speed diff pair mezzanine to host, DP9_M2C_N, , , , , 
DP8_M2C_P, B8, high speed diff pair mezzanine to host, DP8_M2C_P, , , , , 
DP8_M2C_N, B9, high speed diff pair mezzanine to host, DP8_M2C_N, , , , , 
DP7_M2C_P, B12, high speed diff pair mezzanine to host, DP7_M2C_P, , , , , 
DP7_M2C_N, B13, high speed diff pair mezzanine to host, DP7_M2C_N, , , , , 
DP6_M2C_P, B16, high speed diff pair mezzanine to host, DP6_M2C_P, , , , , 
DP6_M2C_N, B17, high speed diff pair mezzanine to host, DP6_M2C_N, , , , , 
GBT_CLK1_M2C_P, B20, gigabit transceiver clock, GBTCLK1_M2C_P, , , , , 
GBT_CLK1_M2C_N, B21, gigabit transceiver clock, GBTCLK1_M2C_N, , , , , 
DP9_C2M_P, B24, high speed diff pair host to mezzanine, DP9_C2M_P, , , , , 
DP9_C2M_N, B25, high speed diff pair host to mezzanine, DP9_C2M_N, , , , , 
DP8_C2M_P, B28, high speed diff pair host to mezzanine, DP8_C2M_P, , , , , 
DP8_C2M_N, B29, high speed diff pair host to mezzanine, DP8_C2M_N, , , , , 
DP7_C2M_P, B32, high speed diff pair host to mezzanine, DP7_C2M_P, , , , , 
DP7_C2M_N, B33, high speed diff pair host to mezzanine, DP7_C2M_N, , , , , 
DP6_C2M_P, B36, high speed diff pair host to mezzanine, DP6_C2M_P, , , , , 
DP6_C2M_N, B37, high speed diff pair host to mezzanine, DP6_C2M_N, , , , , 
RES0, B40, RESERVED, RES0, , , , , 
DP0_C2M_P, C2, high speed diff pair host to mezzanine, DP0_C2M_P, , , , , 
DP0_C2M_N, C3, high speed diff pair host to mezzanine, DP0_C2M_N, , , , , 
DP0_M2C_P, C6, high speed diff pair mezzanine to host, DP0_M2C_P, , , , , 
DP0_M2C_N, C7, high speed diff pair mezzanine to host, DP0_M2C_N, , , , , 
LA06_P, C10, user defined signal on bank A, LA06_P, , , , , 
LA06_N, C11, user defined signal on bank A, LA06_N, , , , , 
LA10_P, C14, user defined signal on bank A, LA10_P, , , , , 
LA10_N, C15, user defined signal on bank A, LA10_N, , , , , 
LA14_P, C18, user defined signal on bank A, LA14_P, , , , , 
LA14_N, C19, user defined signal on bank A, LA14_N, , , , , 
LA18_P_CC, C22, user defined signal on bank A (clock capable), LA18_CC_P, , , , , 
LA18_N_CC, C23, user defined signal on bank A (clock capable), LA18_CC_N, , , , , 
LA27_P, C26, user defined signal on bank A, LA27_P, , , , , 
LA27_N, C27, user defined signal on bank A, LA27_N, , , , , 
SCL, C30, FMC EEPROM I2C clock, FMC_SCL, , , , , 
SDA, C31, FMC EEPROM I2C data, FMC_SDA, , , , , 
GA0, C34, geographical address 1 for EEPROM (intentionally opposite), GA0, , , , , 
12P0V, C35, main 12V supply input, 10P0V, , , , , 
12P0V, C37, main 12V supply input, 10P0V, , , , , 
3P3V, C39, main 3.3V supply input, 3P3V, , , , , 
PG_C2M, D1, power good host to mezzanine, PG_C2M, , , , , 
GBT_CLK0_M2C_P, D4, gigabit transceiver clock, GBTCLK0_M2C_P, , , , , 
GBT_CLK0_M2C_N, D5, gigabit transceiver clock, GBTCLK0_M2C_N, , , , , 
