net, number, name, description, 
DP1_M2C.DP, A2, DP1_M2C_P, high speed diff pair mezzanine to host, 
DP1_M2C.DN, A3, DP1_M2C_N, high speed diff pair mezzanine to host, 
DP2_M2C.DP, A6, DP2_M2C_P, high speed diff pair mezzanine to host, 
DP2_M2C.DN, A7, DP2_M2C_N, high speed diff pair mezzanine to host, 
DP3_M2C.DP, A10, DP3_M2C_P, high speed diff pair mezzanine to host, 
DP3_M2C.DN, A11, DP3_M2C_N, high speed diff pair mezzanine to host, 
DP4_M2C.DP, A14, DP4_M2C_P, high speed diff pair mezzanine to host, 
DP4_M2C.DN, A15, DP4_M2C_N, high speed diff pair mezzanine to host, 
DP5_M2C.DP, A18, DP5_M2C_P, high speed diff pair mezzanine to host, 
DP5_M2C.DN, A19, DP5_M2C_N, high speed diff pair mezzanine to host, 
DP1_C2M.DP, A22, DP1_C2M_P, high speed diff pair host to mezzanine, 
DP1_C2M.DN, A23, DP1_C2M_N, high speed diff pair host to mezzanine, 
DP2_C2M.DP, A26, DP2_C2M_P, high speed diff pair host to mezzanine, 
DP2_C2M.DN, A27, DP2_C2M_N, high speed diff pair host to mezzanine, 
DP3_C2M.DP, A30, DP3_C2M_P, high speed diff pair host to mezzanine, 
DP3_C2M.DN, A31, DP3_C2M_N, high speed diff pair host to mezzanine, 
DP4_C2M.DP, A34, DP4_C2M_P, high speed diff pair host to mezzanine, 
DP4_C2M.DN, A35, DP4_C2M_N, high speed diff pair host to mezzanine, 
DP5_C2M.DP, A38, DP5_C2M_P, high speed diff pair host to mezzanine, 
DP5_C2M.DN, A39, DP5_C2M_N, high speed diff pair host to mezzanine, 
NC, B1, RES1, RESERVED, 
NC, B4, DP9_M2C_P, high speed diff pair mezzanine to host, 
NC, B5, DP9_M2C_N, high speed diff pair mezzanine to host, 
NC, B8, DP8_M2C_P, high speed diff pair mezzanine to host, 
NC, B9, DP8_M2C_N, high speed diff pair mezzanine to host, 
DP7_M2C.DP, B12, DP7_M2C_P, high speed diff pair mezzanine to host, 
DP7_M2C.DN, B13, DP7_M2C_N, high speed diff pair mezzanine to host, 
DP6_M2C.DP, B16, DP6_M2C_P, high speed diff pair mezzanine to host, 
DP6_M2C.DN, B17, DP6_M2C_N, high speed diff pair mezzanine to host, 
GBTCLK1.DP, B20, GBT_CLK1_M2C_P, gigabit transceiver clock, 
GBTCLK1.DN, B21, GBT_CLK1_M2C_N, gigabit transceiver clock, 
NC, B24, DP9_C2M_P, high speed diff pair host to mezzanine, 
NC, B25, DP9_C2M_N, high speed diff pair host to mezzanine, 
NC, B28, DP8_C2M_P, high speed diff pair host to mezzanine, 
