pin, SKIQ-X4_net, SKIQ-X4_description, SKIQ-X4_name, HTG_description, HTG_fpga_pin, HTG_name, 
A2, DP1_M2C.DP, high speed diff pair mezzanine to host, DP1_M2C_P, Serial I/O: Mezzanine to Carrier, AC4, FMC_A_DP[1]_M2C_P, 
A3, DP1_M2C.DN, high speed diff pair mezzanine to host, DP1_M2C_N, Serial I/O: Mezzanine to Carrier, AC3, FMC_A_DP[1]_M2C_N, 
A6, DP2_M2C.DP, high speed diff pair mezzanine to host, DP2_M2C_P, Serial I/O: Mezzanine to Carrier, AD2, FMC_A_DP[2]_M2C_P, 
A7, DP2_M2C.DN, high speed diff pair mezzanine to host, DP2_M2C_N, Serial I/O: Mezzanine to Carrier, AD1, FMC_A_DP[2]_M2C_N, 
A10, DP3_M2C.DP, high speed diff pair mezzanine to host, DP3_M2C_P, Serial I/O: Mezzanine to Carrier, AG4, FMC_A_DP[3]_M2C_P, 
A11, DP3_M2C.DN, high speed diff pair mezzanine to host, DP3_M2C_N, Serial I/O: Mezzanine to Carrier, AG3, FMC_A_DP[3]_M2C_N, 
A14, DP4_M2C.DP, high speed diff pair mezzanine to host, DP4_M2C_P, Serial I/O: Mezzanine to Carrier, AJ4, FMC_A_DP[4]_M2C_P, 
A15, DP4_M2C.DN, high speed diff pair mezzanine to host, DP4_M2C_N, Serial I/O: Mezzanine to Carrier, AJ3, FMC_A_DP[4]_M2C_N, 
A18, DP5_M2C.DP, high speed diff pair mezzanine to host, DP5_M2C_P, Serial I/O: Mezzanine to Carrier, AL4, FMC_A_DP[5]_M2C_P, 
A19, DP5_M2C.DN, high speed diff pair mezzanine to host, DP5_M2C_N, Serial I/O: Mezzanine to Carrier, AL3, FMC_A_DP[5]_M2C_N, 
A22, DP1_C2M.DP, high speed diff pair host to mezzanine, DP1_C2M_P, Serial I/O: Carrier to Mezzanine, AD6, FMC_A_DP[1]_C2M_P, 
A23, DP1_C2M.DN, high speed diff pair host to mezzanine, DP1_C2M_N, Serial I/O: Carrier to Mezzanine, AD5, FMC_A_DP[1]_C2M_N, 
A26, DP2_C2M.DP, high speed diff pair host to mezzanine, DP2_C2M_P, Serial I/O: Carrier to Mezzanine, AE4, FMC_A_DP[2]_C2M_P, 
A27, DP2_C2M.DN, high speed diff pair host to mezzanine, DP2_C2M_N, Serial I/O: Carrier to Mezzanine, AE3, FMC_A_DP[2]_C2M_N, 
A30, DP3_C2M.DP, high speed diff pair host to mezzanine, DP3_C2M_P, Serial I/O: Carrier to Mezzanine, AG8, FMC_A_DP[3]_C2M_P, 
A31, DP3_C2M.DN, high speed diff pair host to mezzanine, DP3_C2M_N, Serial I/O: Carrier to Mezzanine, AG7, FMC_A_DP[3]_C2M_N, 
A34, DP4_C2M.DP, high speed diff pair host to mezzanine, DP4_C2M_P, Serial I/O: Carrier to Mezzanine, AJ8, FMC_A_DP[4]_C2M_P, 
A35, DP4_C2M.DN, high speed diff pair host to mezzanine, DP4_C2M_N, Serial I/O: Carrier to Mezzanine, AJ7, FMC_A_DP[4]_C2M_N, 
A38, DP5_C2M.DP, high speed diff pair host to mezzanine, DP5_C2M_P, Serial I/O: Carrier to Mezzanine, AL8, FMC_A_DP[5]_C2M_P, 
A39, DP5_C2M.DN, high speed diff pair host to mezzanine, DP5_C2M_N, Serial I/O: Carrier to Mezzanine, AL7, FMC_A_DP[5]_C2M_N, 
B1, NC, RESERVED, RES1, , , , 
